game_id,move_number,move_played,piece_type,best_move,cp_loss,move_category,fen_before,score_before,score_after
VS0oxdjw,44,Qg4,Queen,Qg4,-4,Good,B7/p3p1kp/4prp1/2p3q1/3n4/2Q5/PPP2p1P/3R1K1R b - - 2 22,-51,-55
VS0oxdjw,46,Qf4,Queen,Qf4,6,Good,B7/p3p1kp/4prp1/2p5/3n2q1/2Q5/PPPR1p1P/5K1R b - - 4 23,-67,-61
VS0oxdjw,48,e5,Pawn,Qe5,216,Blunder,B7/p3p1kp/4prp1/2p5/3n1q1P/2Q5/PPPR1p2/5K1R b - - 0 24,-86,130
VS0oxdjw,50,e4,Pawn,Ne2,536,Blunder,B7/p3p1kp/5rp1/2p1p3/3n1q1P/2Q4R/PPPR1p2/5K2 b - - 1 25,-438,98
VS0oxdjw,52,Qg4,Queen,Qg4,-2,Good,B7/p3p1kp/5rp1/2p5/3npq1P/4Q2R/PPPR1p2/5K2 b - - 1 26,2,0
VS0oxdjw,54,Qg1#,Queen,Qg1#,-1,Good,8/p3p1kp/5rp1/2p5/3nB1qP/4Q2R/PPPR1p2/5K2 b - - 0 27,-9999,-10000
a2nqSthQ,2,c5,Pawn,c5,-4,Good,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,40,36
a2nqSthQ,4,e6,Pawn,Nc6,17,Good,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,30,47
a2nqSthQ,6,cxd4,Pawn,cxd4,7,Good,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,42,49
a2nqSthQ,8,a6,Pawn,Nf6,25,Good,rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,27,52
a2nqSthQ,10,Nf6,Knight,Qc7,9,Good,rnbqkbnr/1p1p1ppp/p3p3/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq - 0 5,51,60
a2nqSthQ,12,Qc7,Queen,Qc7,-2,Good,rnbqkb1r/1p1p1ppp/p3pn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq - 2 6,61,59
a2nqSthQ,14,Bb4,Bishop,b6,12,Good,rnb1kb1r/1pqp1ppp/p3pn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQkq - 4 7,60,72
a2nqSthQ,16,O-O,King,O-O,-6,Good,rnb1k2r/1pqp1ppp/p3pn2/8/1bPNP3/2N5/PP2BPPP/R1BQ1RK1 b kq - 6 8,35,29
a2nqSthQ,18,Nc6,Knight,h6,19,Good,rnb2rk1/1pqp1ppp/p3pn2/8/1bPNP3/2N2P2/PP2B1PP/R1BQ1RK1 b - - 0 9,28,47
a2nqSthQ,20,b6,Pawn,Bxc3,45,Inaccuracy,r1b2rk1/1pqp1ppp/p1n1pn2/8/1bPNP3/2N1BP2/PP2B1PP/R2Q1RK1 b - - 2 10,35,80
a2nqSthQ,22,Bc5,Bishop,Nxd4,19,Good,r1b2rk1/2qp1ppp/ppn1pn2/8/1bPNP3/2N1BP2/PP2B1PP/2RQ1RK1 b - - 1 11,59,78
a2nqSthQ,24,Bb7,Bishop,Bb7,-4,Good,r1b2rk1/2qp1ppp/ppn1pn2/2b5/2PNP3/2N1BP2/PP1QB1PP/2R2RK1 b - - 3 12,62,58
a2nqSthQ,26,Rfe8,Rook,Nxd4,81,Inaccuracy,r4rk1/1bqp1ppp/ppn1pn2/2b5/2PNP3/2N1BP2/PP1QB1PP/2RR2K1 b - - 5 13,8,89
a2nqSthQ,28,Ne5,Knight,Nh5,35,Inaccuracy,r3r1k1/1bqp1ppp/ppn1pn2/2b5/2PNP3/P1N1BP2/1P1QB1PP/2RR2K1 b - - 0 14,126,161
a2nqSthQ,30,Bf8,Bishop,Be7,18,Good,r3r1k1/1bqp1ppp/pp2pn2/2b1n3/1PPNP3/P1N1BP2/3QB1PP/2RR2K1 b - - 0 15,124,142
a2nqSthQ,32,d6,Pawn,d6,31,Inaccuracy,r3rbk1/1bqp1ppp/pp2pn2/4n3/NPPNP3/P3BP2/3QB1PP/2RR2K1 b - - 2 16,133,164
a2nqSthQ,34,Rac8,Rook,Nfd7,65,Inaccuracy,r3rbk1/1bq2ppp/pp1ppn2/4n3/NPPNP3/P3BP2/3Q2PP/2RR1BK1 b - - 1 17,80,145
a2nqSthQ,36,Ned7,Knight,Nfd7,25,Good,2r1rbk1/1bq2ppp/pp1ppn2/4n3/NPP1P3/PN2BP2/3Q2PP/2RR1BK1 b - - 3 18,127,152
a2nqSthQ,38,Qb8,Queen,Qb8,35,Inaccuracy,2r1rbk1/1bqn1ppp/pp1ppn2/8/NPP1P3/PN2BP2/5QPP/2RR1BK1 b - - 5 19,137,172
a2nqSthQ,40,Nxb6,Knight,Nxb6,3,Good,1qr1rbk1/1b1n1ppp/pN1ppn2/8/1PP1P3/PN2BP2/5QPP/2RR1BK1 b - - 0 20,137,140
a2nqSthQ,42,Bxe4,Bishop,Bxe4,4,Good,1qr1rbk1/1b3ppp/pB1ppn2/8/1PP1P3/PN3P2/5QPP/2RR1BK1 b - - 0 21,135,139
a2nqSthQ,44,Qa8,Queen,Qa8,-2,Good,1qr1rbk1/B4ppp/p2ppn2/8/1PP1b3/PN3P2/5QPP/2RR1BK1 b - - 1 22,108,106
a2nqSthQ,46,e5,Pawn,e5,4,Good,q1r1rbk1/5ppp/p2ppn2/8/1PPBb3/PN3P2/5QPP/2RR1BK1 b - - 3 23,51,55
a2nqSthQ,48,Bf5,Bishop,Bc6,19,Good,q1r1rbk1/5ppp/p2p1n2/4p3/1PP1b3/PN2BP2/5QPP/2RR1BK1 b - - 1 24,56,75
a2nqSthQ,50,h6,Pawn,h6,10,Good,q1r1rbk1/5ppp/p2p1n2/N3pb2/1PP5/P3BP2/5QPP/2RR1BK1 b - - 3 25,43,53
a2nqSthQ,52,d5,Pawn,d5,3,Good,q1r1rbk1/5pp1/p2p1n1p/N3pb2/1PP5/P3BP2/5QPP/2RR1B1K b - - 1 26,26,29
a2nqSthQ,54,Nxd5,Knight,Rxc1,29,Good,q1r1rbk1/5pp1/p4n1p/N2Ppb2/1P6/P3BP2/5QPP/2RR1B1K b - - 0 27,5,34
a2nqSthQ,56,e4,Pawn,e4,-11,Good,q1r1rbk1/5pp1/p6p/N1Bnpb2/1P6/P4P2/5QPP/2RR1B1K b - - 1 28,37,26
a2nqSthQ,58,Rxf8,Rook,Rxc1,24,Good,q1r1rBk1/5pp1/p6p/N2n1b2/1P2p3/P4P2/5QPP/2RR1B1K b - - 0 29,16,40
a2nqSthQ,60,Rxc8,Rook,Rxc8,5,Good,q1R2rk1/5pp1/p6p/N2n1b2/1P2p3/P4P2/5QPP/3R1B1K b - - 0 30,23,28
a2nqSthQ,62,Rd8,Rook,Qc6,263,Blunder,q1r3k1/5pp1/p6p/3n1b2/1PN1p3/P4P2/5QPP/3R1B1K b - - 1 31,33,296
a2nqSthQ,64,Bxe4,Bishop,Bxe4,13,Good,q2r2k1/5pp1/p6p/3n1b2/1PN1P3/P7/5QPP/3R1B1K b - - 0 32,101,114
a2nqSthQ,66,f5,Pawn,Bc2,208,Blunder,q2r2k1/5pp1/p6p/3n4/1PNQb3/P7/6PP/3R1B1K b - - 1 33,123,331
